pid,param1,param2,param3
100020190788,2,商品毛重,3.55kg
100020190788,2,商品产地,中国大陆
100020190788,2,水冷类型,不支持
100020190788,2,体型,中型机箱（中塔机箱）
100020190788,2,机箱重量,<5kg
100020190788,2,RGB光控,不支持RGB光控
100020190788,2,支持主板,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
100020190788,2,颜色,黑色
100051967909,1,品牌,华硕（ASUS）
100051967909,2,商品名称,华硕追影
100051967909,2,商品编号,100051967909
100051967909,2,商品毛重,8.64kg
100051967909,2,商品产地,中国大陆
100051967909,2,水冷类型,360冷排，280冷排，240冷排，120冷排
100051967909,2,体型,中型机箱（中塔机箱）
100051967909,2,机箱类型,玻璃侧透机箱
100051967909,2,机箱重量,5-8kg
100051967909,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
10095720763200,1,品牌,戴尔（DELL）
10095720763200,2,商品名称,戴尔（DELL）7010
10095720763200,2,商品编号,10095720763200
10095720763200,2,店铺,戴尔创投专卖店
10095720763200,2,商品毛重,0.59kg
10095720763200,2,屏幕尺寸,23-25英寸
10095720763200,2,系列,戴尔-OptiPlex
10095720763200,2,类型,单主机
10095720763200,2,系统,Windows 11
10095720763200,2,机箱大小,10-20L
10095720763200,2,处理器,intel i3
10095720763200,2,硬盘容量,256GB SSD
10095720763200,2,显卡型号,集成显卡
10095720763200,2,内存容量,8GB
10095720763200,2,支持IPv6,支持IPv6
10095720763200,2,适用场景,商用
100039516363,1,品牌,先马（SAMA）
100039516363,2,商品名称,先马 朱雀air豪华版 雪装
100039516363,2,商品编号,100039516363
100039516363,2,商品毛重,5.72kg
100039516363,2,商品产地,中国大陆
100039516363,2,水冷类型,240冷排，120冷排
100039516363,2,体型,中型机箱（中塔机箱）
100039516363,2,机箱类型,异形机箱
100039516363,2,颜色,白色
100039516363,2,支持主板,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
3106610,1,品牌,爱国者（aigo）
3106610,2,商品名称,爱国者黑曼巴 主动式降噪机箱
3106610,2,商品编号,3106610
3106610,2,商品毛重,10.53kg
3106610,2,商品产地,中国大陆
3106610,2,水冷类型,280冷排，240冷排
3106610,2,体型,中型机箱（中塔机箱）
3106610,2,机箱重量,8-12kg
3106610,2,RGB光控,不支持RGB光控
3106610,2,支持主板,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
3106610,2,颜色,黑色
100101789044,1,品牌,九州风神（DEEPCOOL）
100101789044,2,商品名称,九州风神GP-CH160 WH
100101789044,2,商品编号,100101789044
100101789044,2,商品毛重,4.0kg
100101789044,2,商品产地,中国大陆
100101789044,2,货号,GP-CH160 WH
100101789044,2,水冷类型,不支持
100101789044,2,体型,MINI机箱
100101789044,2,机箱类型,玻璃侧透机箱
100101789044,2,机箱重量,<5kg
100101789044,2,支持主板,MINI-ITX（迷你型）
100066289983,1,品牌,鑫谷（segotep）
100066289983,2,商品名称,鑫谷无界1（黑）无立柱海景房机箱
100066289983,2,商品编号,100066289983
100066289983,2,商品毛重,8.15kg
100066289983,2,商品产地,中国大陆
100066289983,2,水冷类型,360冷排，280冷排，240冷排，120冷排
100066289983,2,体型,中型机箱（中塔机箱）
100066289983,2,机箱类型,亚克力侧透机箱，玻璃侧透机箱
100066289983,2,机箱重量,5-8kg
100066289983,2,支持主板,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
100066289983,2,颜色,黑色
100082360369,1,品牌,先马（SAMA）
100082360369,2,商品名称,先马幻境界（白）
100082360369,2,商品编号,100082360369
100082360369,2,商品毛重,7.79kg
100082360369,2,商品产地,中国大陆
100082360369,2,水冷类型,360冷排，280冷排，240冷排，120冷排
100082360369,2,体型,中型机箱（中塔机箱）
100082360369,2,机箱类型,玻璃侧透机箱，异形机箱
100082360369,2,支持主板,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
100082360369,2,颜色,白色
100059407383,1,品牌,戴尔（DELL）
100059407383,2,商品名称,戴尔OptiPlex
100059407383,2,商品编号,100059407383
100059407383,2,商品毛重,5.0kg
100059407383,2,商品产地,中国大陆
100059407383,2,屏幕尺寸,无显示器
100059407383,2,系列,戴尔-OptiPlex
100059407383,2,支持IPv6,支持IPv6
100059407383,2,优选服务,三年质保
100059407383,2,机箱大小,3-9.9L
100059407383,2,处理器,intel i7
100059407383,2,系统,Windows 11家庭中文版
100059407383,2,硬盘容量,480GB/512GB SSD+1TB HDD
100059407383,2,内存容量,16GB
100059407383,2,显卡型号,其他
100059407383,2,类型,主机+显示器
100059407383,2,特性,拆机保修
100059407383,2,适用场景,商用
100082154078,1,品牌,金河田（Golden field）
100082154078,2,商品名称,金河田HIFI系列 RTX27 雪装海景房机箱
100082154078,2,商品编号,100082154078
100082154078,2,商品毛重,7.39kg
100082154078,2,商品产地,中国大陆
100082154078,2,水冷类型,360冷排，280冷排，240冷排，120冷排
100082154078,2,体型,大型机箱（全塔机箱）
